,RERA,BHK_NO.,SQUARE_FT,ADDRESS,TARGET(PRICE_IN_LACS)
6860,0,3,1814.0,Bangalore,140.0
17279,0,3,1814.0,Pune,170.0
6893,0,3,1814.0,Bhubaneswar,170.0
6914,1,4,1814.0,Jaipur,91.3
23531,0,3,1814.0,Faridabad,67.3
17301,1,4,1814.0,Raipur,78.5
17311,0,5,1814.0,Valsad,80.0
23485,0,4,1814.0,Jodhpur,180.0
6895,1,4,1814.0,Chandigarh,81.0
3326,0,3,1814.0,Dehradun,81.0
3329,0,3,1814.0,Bangalore,110.0
17323,1,3,1814.0,Jalandhar,60.0
23464,0,3,1814.0,Bangalore,160.0
23462,0,3,1814.0,Vadodara,48.0
23415,0,4,1814.0,Ludhiana,150.0
3341,0,3,1814.0,Bangalore,140.0
6879,0,3,1814.0,Gurgaon,98.0
23439,0,3,1814.0,Rohtak,50.0
23435,0,4,1814.0,Ghaziabad,95.0
23433,1,3,1814.0,Noida,140.0
17344,0,4,1814.0,Kolkata,190.0
3351,1,3,1814.0,Lucknow,90.6
6873,1,3,1814.0,Noida,180.0
17346,0,3,1814.0,Panchkula,60.0
23422,1,3,1814.0,Faridabad,120.0
7052,0,3,1814.0,Bangalore,190.0
23726,0,4,1814.0,Mohali,78.0
16652,1,3,1814.0,Noida,100.0
7209,1,4,1814.0,Noida,110.0
3041,0,3,1814.0,Kolkata,99.0
23984,0,3,1814.0,Kolkata,180.0
16741,0,3,1814.0,Bangalore,90.0
7231,1,3,1814.0,Noida,110.0
7226,0,3,1814.0,Ghaziabad,150.0
16760,1,3,1814.0,Bangalore,170.0
23978,0,3,1814.0,Agra,60.0
16761,0,3,1814.0,Dehradun,98.0
23967,1,3,1814.0,Noida,170.0
7213,1,3,1814.0,Kolhapur,80.1
16777,1,4,1814.0,Jaipur,190.0
16731,1,4,1814.0,Chandigarh,96.7
3057,0,3,1814.0,Allahabad,77.9
23962,0,3,1814.0,Noida,95.0
16784,1,3,1814.0,Chandigarh,82.8
16794,1,4,1814.0,Chandigarh,100.0
7196,1,3,1814.0,Bhopal,110.0
7193,0,3,1814.0,Chandigarh,62.8
16798,0,3,1814.0,Vadodara,110.0
7189,0,3,1814.0,Mohali,94.0
7188,0,3,1814.0,Kolkata,180.0
16806,1,3,1814.0,Mohali,73.0
7234,0,3,1814.0,Faridabad,52.7
16722,1,3,1814.0,Mohali,75.0
16810,0,3,1814.0,Surat,74.5
7270,0,4,1814.0,Surat,130.0
16672,1,3,1814.0,Chandigarh,52.9
2998,0,3,1814.0,Varanasi,110.0
16674,0,4,1814.0,Vadodara,100.0
3000,0,3,1814.0,Chandigarh,54.0
24054,0,3,1814.0,Ludhiana,100.0
24052,0,3,1814.0,Mohali,150.0
16683,0,4,1814.0,Kolkata,170.0
24041,0,3,1814.0,Bangalore,160.0
24035,0,3,1814.0,Anand,50.0
3010,0,4,1814.0,Kolkata,87.1
16696,0,4,1814.0,Dehradun,90.0
3034,1,3,1814.0,Gurgaon,170.0
16699,0,4,1814.0,Visakhapatnam,72.7
7254,0,3,1814.0,Bhubaneswar,70.0
16710,0,3,1814.0,Wardha,39.0
3021,0,3,1814.0,Ranchi,150.0
24018,1,3,1814.0,Mangalore,130.0
24011,1,4,1814.0,Faridabad,99.0
16711,0,3,1814.0,Chandigarh,71.9
24006,0,3,1814.0,Gurgaon,120.0
24002,0,2,1814.0,Coimbatore,140.0
16717,0,3,1814.0,Panchkula,65.0
16809,1,3,1814.0,Pune,170.0
3078,0,3,1814.0,Chandigarh,52.9
17023,0,3,1814.0,Bangalore,160.0
7101,1,3,1814.0,Vadodara,65.0
3132,0,4,1814.0,Ambala,50.0
16925,0,3,1814.0,Vadodara,70.0
16927,0,3,1814.0,Lalitpur,130.0
16934,1,4,1814.0,Mohali,78.9
16936,0,3,1814.0,Bangalore,140.0
23813,0,3,1814.0,Bangalore,95.0
23811,0,3,1814.0,Bangalore,120.0
7109,0,3,1814.0,Chandigarh,62.1
16939,1,3,1814.0,Chandigarh,60.0
16941,1,3,1814.0,Pune,140.0
7097,1,4,1814.0,Noida,110.0
16922,0,4,1814.0,Surat,150.0
16962,0,4,1814.0,Vadodara,66.0
23782,0,3,1814.0,Gandhinagar,50.0
17005,0,3,1814.0,Sonipat,52.0
7075,0,3,1814.0,Gurgaon,190.0
23774,0,3,1814.0,Palakkad,67.0
23762,0,3,1814.0,Vijayawada,80.0
17022,1,3,1814.0,Noida,110.0
23747,1,3,1814.0,Mohali,120.0
23745,1,3,1814.0,Mohali,70.0
7063,0,3,1814.0,Jaipur,100.0
3131,1,4,1814.0,Gurgaon,190.0
16921,1,3,1814.0,Mohali,130.0
23931,0,3,1814.0,Bangalore,170.0
16855,0,3,1814.0,Kolkata,110.0
7181,0,3,1814.0,Jaipur,76.3
23930,0,3,1814.0,Vadodara,48.0
16816,0,3,1814.0,Jaipur,170.0
23928,0,3,1814.0,Kolkata,87.0
16818,0,3,1814.0,Dehradun,65.0
23925,0,3,1814.0,Bangalore,140.0
16846,0,3,1814.0,Dehradun,81.0
16850,0,3,1814.0,Indore,46.5
23922,1,3,1814.0,Noida,97.0
16853,0,4,1814.0,Noida,160.0
7155,1,3,1814.0,Lucknow,65.0
23863,0,3,1814.0,Jaipur,77.0
23917,0,3,1814.0,Kolkata,130.0
16858,0,4,1814.0,Faridabad,92.7
16877,0,4,1814.0,Ernakulam,100.0
16878,1,3,1814.0,Gurgaon,160.0
7145,0,3,1814.0,Ghaziabad,80.0
16900,1,3,1814.0,Chandigarh,69.6
7133,1,4,1814.0,Chandigarh,70.9
3118,0,4,1814.0,Surat,190.0
7130,1,3,1814.0,Bangalore,170.0
7126,0,2,1814.0,Jaipur,130.0
7779,0,3,1814.0,Anantapur,45.0
15818,0,4,1814.0,Bangalore,170.0
15814,0,3,1814.0,Jaipur,140.0
8375,0,3,1814.0,Bhopal,120.0
14743,0,4,1814.0,Kolkata,110.0
25715,0,4,1814.0,Indore,120.0
25714,0,3,1814.0,Mysore,140.0
14764,0,3,1814.0,Dehradun,51.0
14770,0,3,1814.0,Bangalore,190.0
14785,0,4,1814.0,Kochi,67.0
8385,0,4,1814.0,Vadodara,150.0
14789,0,4,1814.0,Bhilai,44.5
2100,0,3,1814.0,Bangalore,130.0
14799,0,3,1814.0,Gurgaon,110.0
8374,0,3,1814.0,Kolkata,130.0
14741,1,3,1814.0,Noida,97.5
14804,0,3,1814.0,Coimbatore,120.0
14817,0,3,1814.0,Bangalore,80.0
2111,0,3,1814.0,Dehradun,70.0
14819,0,3,1814.0,Bangalore,95.0
14831,1,4,1814.0,Noida,160.0
25645,1,4,1814.0,Noida,110.0
14833,1,3,1814.0,Chandigarh,74.9
2122,0,3,1814.0,Pune,140.0
25635,0,2,1814.0,Kolkata,36.0
25628,0,3,1814.0,Noida,150.0
2084,0,3,1814.0,Siliguri,75.0
14736,0,4,1814.0,Kolkata,160.0
8359,0,3,1814.0,Faridabad,99.9
14677,1,3,1814.0,Faridabad,95.0
25785,0,4,1814.0,Bangalore,140.0
14644,0,3,1814.0,Bangalore,95.0
25777,1,4,1814.0,Goa,100.0
2048,1,3,1814.0,Faridabad,130.0
25775,1,3,1814.0,Ghaziabad,130.0
8450,0,4,1814.0,Mohali,91.9
8445,1,3,1814.0,Bangalore,82.7
8444,1,3,1814.0,Ghaziabad,70.0
14670,0,4,1814.0,Gurgaon,180.0
25763,0,2,1814.0,Goa,48.0
14684,1,3,1814.0,Bangalore,140.0
14731,0,6,1814.0,Sagar,80.0
14690,1,3,1814.0,Dehradun,130.0
25752,0,3,1814.0,Jaipur,190.0
25750,0,4,1814.0,Junagadh,68.0
14692,1,4,1814.0,Chandigarh,72.2
25742,1,4,1814.0,Mohali,190.0
2073,0,4,1814.0,Vadodara,50.0
8423,0,3,1814.0,Kottayam,95.0
14710,1,3,1814.0,Noida,87.0
14723,0,3,1814.0,Gurgaon,180.0
14724,0,3,1814.0,Nagpur,67.0
25623,1,3,1814.0,Gurgaon,180.0
14863,0,4,1814.0,Noida,68.2
25791,0,6,1814.0,Coimbatore,65.0
14995,0,4,1814.0,Faridabad,77.0
25546,0,1,1814.0,Beed,15.0
25543,0,3,1814.0,Kolkata,87.0
14966,1,3,1814.0,Noida,81.6
2188,0,4,1814.0,Chandigarh,130.0
25532,0,3,1814.0,Vadodara,120.0
14972,0,3,1814.0,Coimbatore,95.0
14988,1,3,1814.0,Chandigarh,93.5
8280,1,4,1814.0,Chandigarh,81.9
25524,0,3,1814.0,Pondicherry,60.0
8274,1,3,1814.0,Gurgaon,170.0
8271,1,3,1814.0,Pune,100.0
14963,0,5,1814.0,Noida,150.0
8269,1,4,1814.0,Lucknow,180.0
2207,0,3,1814.0,Chandigarh,79.5
25511,1,4,1814.0,Chennai,100.0
25507,1,3,1814.0,Noida,110.0
2210,0,3,1814.0,Surat,91.5
2212,0,2,1814.0,Goa,60.0
15000,0,4,1814.0,Ghaziabad,54.0
15016,0,3,1814.0,Kolkata,94.0
8252,1,4,1814.0,Bangalore,180.0
15019,0,3,1814.0,Chandigarh,67.2
25549,0,4,1814.0,Noida,190.0
2173,0,3,1814.0,Bharuch,51.0
25614,0,4,1814.0,Surat,110.0
14906,0,3,1814.0,Jaipur,55.0
14871,1,3,1814.0,Bangalore,140.0
2141,1,4,1814.0,Mohali,52.0
2142,0,3,1814.0,Pune,130.0
8341,1,3,1814.0,Bangalore,160.0
25601,1,4,1814.0,Chandigarh,100.0
14893,0,3,1814.0,Bangalore,150.0
8335,0,3,1814.0,Chandigarh,52.0
14894,1,3,1814.0,Bangalore,130.0
14897,1,3,1814.0,Noida,100.0
8327,1,5,1814.0,Indore,110.0
2153,1,3,1814.0,Bangalore,120.0
14922,0,3,1814.0,Mohali,43.0
2154,0,4,1814.0,Secunderabad,80.0
2156,1,4,1814.0,Indore,82.8
2158,0,3,1814.0,Noida,87.0
8325,0,4,1814.0,Kochi,170.0
25577,0,3,1814.0,Bangalore,140.0
14911,0,3,1814.0,Pune,160.0
8323,0,3,1814.0,Gurgaon,110.0
25571,1,4,1814.0,Noida,140.0
8322,0,3,1814.0,Indore,62.0
14914,0,3,1814.0,Kolkata,100.0
25789,1,4,1814.0,Chennai,120.0
14641,1,3,1814.0,Noida,160.0
2596,1,3,1814.0,Mohali,100.0
26078,0,3,1814.0,Mohali,130.0
8626,0,3,1814.0,Surat,90.0
26114,0,3,1814.0,Secunderabad,170.0
14381,0,3,1814.0,Nagpur,87.0
26112,0,3,1814.0,Chennai,130.0
26111,1,3,1814.0,Noida,100.0
26105,0,4,1814.0,Rajkot,140.0
8617,1,4,1814.0,Chandigarh,95.0
14395,0,3,1814.0,Vadodara,70.0
26100,0,3,1814.0,Rajkot,72.0
14410,0,3,1814.0,Kolkata,87.0
26075,0,3,1814.0,Rewari,61.0
26117,1,3,1814.0,Noida,120.0
14424,0,3,1814.0,Jaipur,100.0
14427,0,4,1814.0,Faridabad,110.0
14438,1,3,1814.0,Surat,58.5
26063,0,3,1814.0,Jaipur,80.0
26059,1,3,1814.0,Gurgaon,160.0
26051,1,3,1814.0,Mohali,110.0
26032,0,3,1814.0,Chandigarh,120.0
26026,0,3,1814.0,Sonipat,44.4
26025,0,4,1814.0,Karnal,29.0
1934,1,3,1814.0,Ghaziabad,170.0
1899,0,3,1814.0,Jaipur,130.0
14380,1,4,1814.0,Lucknow,97.5
25998,0,5,1814.0,Bangalore,95.0
26165,0,4,1814.0,Chandigarh,90.2
8697,0,3,1814.0,Faridabad,150.0
14259,0,3,1814.0,Mohali,140.0
26207,0,4,1814.0,Noida,110.0
14268,0,3,1814.0,Chandigarh,50.0
14285,0,4,1814.0,Kolkata,170.0
14291,1,4,1814.0,Noida,150.0
1860,0,3,1814.0,Faridabad,87.0
14304,0,3,1814.0,Faridabad,67.5
26166,0,3,1814.0,Udaipur,48.0
14310,0,3,1814.0,Noida,80.0
26160,0,3,1814.0,Bangalore,170.0
26123,0,3,1814.0,Bangalore,180.0
14338,0,3,1814.0,Noida,140.0
1879,0,3,1814.0,Bangalore,82.0
14339,0,6,1814.0,Lalitpur,24.8
1884,0,3,1814.0,Secunderabad,120.0
14366,0,3,1814.0,Noida,110.0
14372,0,3,1814.0,Gurgaon,120.0
8635,1,3,1814.0,Noida,190.0
1890,0,3,1814.0,Visakhapatnam,150.0
8629,0,3,1814.0,Udupi,85.0
26132,1,4,1814.0,Bangalore,130.0
26015,0,3,1814.0,Mangalore,140.0
25994,1,3,1814.0,Noida,160.0
14636,0,4,1814.0,Vadodara,88.0
2005,1,3,1814.0,Noida,130.0
14544,0,3,1814.0,Bangalore,160.0
1985,0,4,1814.0,Noida,180.0
8521,0,3,1814.0,Surat,120.0
1988,1,3,1814.0,Pune,150.0
14554,0,3,1814.0,Bangalore,180.0
14571,0,3,1814.0,Bangalore,160.0
8512,1,3,1814.0,Gurgaon,110.0
8509,0,3,1814.0,Moradabad,75.0
14581,1,3,1814.0,Pune,130.0
25859,0,3,1814.0,Faridabad,56.0
25825,0,3,1814.0,Mohali,65.0
8528,1,4,1814.0,Bangalore,190.0
2014,0,3,1814.0,Pune,130.0
8492,1,3,1814.0,Gurgaon,100.0
8489,0,3,1814.0,Bangalore,150.0
14620,0,4,1814.0,Meerut,56.0
25813,1,3,1814.0,Dehradun,85.0
14629,1,3,1814.0,Surat,72.0
25804,0,3,1814.0,Ghaziabad,100.0
14631,0,4,1814.0,Nainital,99.9
25799,0,3,1814.0,Jaipur,100.0
2031,0,3,1814.0,Kolkata,95.0
8526,0,4,1814.0,Vadodara,99.0
25895,0,3,1814.0,Noida,170.0
25986,0,4,1814.0,Surat,110.0
1953,0,4,1814.0,Tirunelveli,85.0
14451,0,3,1814.0,Bangalore,110.0
8575,1,3,1814.0,Chandigarh,76.9
14463,1,4,1814.0,Noida,160.0
8567,1,4,1814.0,Noida,130.0
25972,0,3,1814.0,Ernakulam,180.0
8565,0,3,1814.0,Indore,170.0
1949,1,3,1814.0,Mangalore,110.0
25966,0,3,1814.0,Hubli,70.0
25963,0,3,1814.0,Kolkata,99.0
25961,0,3,1814.0,Jaipur,140.0
14470,1,4,1814.0,Noida,89.0
14541,0,4,1814.0,Mohali,110.0
14476,0,3,1814.0,Faridabad,87.0
14489,0,3,1814.0,Ernakulam,130.0
8549,0,4,1814.0,Noida,140.0
14503,0,4,1814.0,Jaipur,83.0
14513,0,4,1814.0,Gurgaon,180.0
25926,0,3,1814.0,Noida,100.0
14529,1,3,1814.0,Bangalore,120.0
14534,0,3,1814.0,Bangalore,140.0
14536,0,2,1814.0,Vijayawada,25.0
1973,1,3,1814.0,Mohali,120.0
2222,1,4,1814.0,Chandigarh,100.0
15022,0,3,1814.0,Kolkata,110.0
15033,1,3,1814.0,Noida,120.0
15598,0,3,1814.0,Jammu,55.5
15528,0,4,1814.0,Kolkata,100.0
25030,1,3,1814.0,Lucknow,72.0
25026,1,4,1814.0,Faizabad,75.0
15548,0,3,1814.0,Bangalore,80.0
2466,0,4,1814.0,Chandigarh,130.0
25021,1,3,1814.0,Gurgaon,150.0
15574,0,3,1814.0,Kolkata,150.0
7924,1,3,1814.0,Pune,180.0
2473,0,3,1814.0,Visakhapatnam,79.7
7920,0,3,1814.0,Bangalore,100.0
